mv,clean,base_crowd,trace_crowd,softmax_crowd,trace_softmax_crowd
0.7769360269,0.9006734007,0.7777777778,0.8400673401,0.8240740741,0.8223905724
0.781986532,0.9048821549,0.8173400673,0.82996633,0.8324915825,0.8484848485
0.7542087542,0.9048821549,0.8316498316,0.8156565657,0.8240740741,0.8223905724
0.7786195286,0.9015151515,0.8333333333,0.8316498316,0.8291245791,0.8333333333
0.75,0.8956228956,0.8535353535,0.8324915825,0.8316498316,0.8249158249
0.7760942761,0.9015151515,0.8392255892,0.819023569,0.8324915825,0.8148148148
0.7786195286,0.9015151515,0.7297979798,0.82996633,0.8249158249,0.8097643098
0.7752525253,0.9015151515,0.8274410774,0.8375420875,0.7239057239,0.7196969697
0.7803030303,0.9082491582,0.8375420875,0.8358585859,0.8417508418,0.8047138047
0.7718855219,0.9132996633,0.8215488215,0.7702020202,0.8282828283,0.8308080808
0.7727272727,0.9048821549,0.8375420875,0.8324915825,0.8383838384,0.8274410774
0.7853535354,0.9074074074,0.8392255892,0.7070707071,0.8148148148,0.7196969697
0.7735690236,0.9099326599,0.8484848485,0.8341750842,0.7668350168,0.8291245791
0.7626262626,0.9065656566,0.8417508418,0.8358585859,0.8021885522,0.8173400673
0.7676767677,0.9065656566,0.8434343434,0.8274410774,0.8308080808,0.8316498316
0.7643097643,0.9099326599,0.82996633,0.8333333333,0.8122895623,0.8265993266
0.7718855219,0.904040404,0.7508417508,0.8316498316,0.8148148148,0.8308080808
0.7828282828,0.9107744108,0.7264309764,0.8198653199,0.8265993266,0.8005050505
0.8021885522,0.9031986532,0.8425925926,0.861952862,0.8358585859,0.8265993266
0.7668350168,0.8930976431,0.7643097643,0.8434343434,0.8038720539,0.8072390572
